event	test	log_line	category	boundary_path	location	observation
FAIL	seon.schema-test/declared-reference-maps-accept-the-pull-reference-grammar	118	baseline failure: ambiguous-error candidate fixture	test/seon/schema_test.clj	schema_test.clj:387	(m/validate structural row)
FAIL	seon.schema-test/registry-generation-operation-counts	157	step-1 measurement or construction; corrected	test/seon/schema_test.clj	schema_test.clj:54	(zero? (:named-compiles (clojure.core/deref counts)))
ERROR	seon.config-test/a-refused-read-is-returned-as-the-cause-not-reported-as-missing-facts	216	foreign boundary: database/error conversion (1a)	src/seon/db.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.db/pull refused database at []: expected must be an immutable Datahike database value, got a map. Fix: must be an immutable Datahike database value Called from seon.config (config.clj:586).
ERROR	seon.config-test/caps-refused-for-want-of-a-cluster-carry-that-refusal-as-the-cause	263	outside-step-1 observed boundary; cause unproved	src/seon/config.clj	instrument.clj:768	clojure.lang.ExceptionInfo: seon.config/result-caps refused effective at [:seon.config.agent/turn-completion-backstop-ms]: expected the required key :seon.config.agent/turn-completion-backstop-ms with an integer, got a map missing :seon.config.agent/turn-completion-backstop-ms. Fix: Supply :seon.config.agent/turn-completion-backstop-ms with an integer. Called from seon.config-test (config_test.clj:593).
FAIL	seon.config-test/cluster-scoped-config-refuses-an-omitted-cluster	302	stale retired-field expectation	test/seon/config_test.clj	config_test.clj:358	(= :seon.instrument/contract-violated (:seon.error/kind refusal))
FAIL	seon.config-test/cluster-scoped-config-refuses-an-omitted-cluster	306	stale retired-field expectation	test/seon/config_test.clj	config_test.clj:359	(= caller (:seon.instrument/contract-violated refusal))
FAIL	seon.config-test/cluster-scoped-config-refuses-an-omitted-cluster	310	stale retired-field expectation	test/seon/config_test.clj	config_test.clj:358	(= :seon.instrument/contract-violated (:seon.error/kind refusal))
FAIL	seon.config-test/cluster-scoped-config-refuses-an-omitted-cluster	314	stale retired-field expectation	test/seon/config_test.clj	config_test.clj:359	(= caller (:seon.instrument/contract-violated refusal))
FAIL	seon.config-test/cluster-scoped-config-refuses-an-omitted-cluster	318	stale retired-field expectation	test/seon/config_test.clj	config_test.clj:358	(= :seon.instrument/contract-violated (:seon.error/kind refusal))
FAIL	seon.config-test/cluster-scoped-config-refuses-an-omitted-cluster	322	stale retired-field expectation	test/seon/config_test.clj	config_test.clj:359	(= caller (:seon.instrument/contract-violated refusal))
FAIL	seon.config-test/compiler-ignores-extra-keys-and-refuses-invalid-declared-values	328	stale retired-field expectation	test/seon/config_test.clj	config_test.clj:489	(= :seon.instrument/contract-violated (:seon.error/kind data))
FAIL	seon.config-test/compiler-ignores-extra-keys-and-refuses-invalid-declared-values	333	stale retired-field expectation	test/seon/config_test.clj	config_test.clj:490	(= (quote seon.config/compile-manifest) (:seon.instrument/contract-violated data))
FAIL	seon.config-test/config-loads-the-packaged-population-in-a-fresh-jvm	340	step-1 measurement or construction; corrected	test/seon/config_test.clj	config_test.clj:136	exited?
